anio;hombres_total;mujeres_total;hombres_sin;mujeres_sin;hombres_con;mujeres_con
2006;17,7;21,67;4,16;3,69;13,54;17,97
2012;18,51;22,43;4,43;3,93;14,08;18,5
2017;19,12;22,97;3,41;3,5;15,72;19,47
